k,required points per color,Amer-Indian-Eskimo_Female,Amer-Indian-Eskimo_Male,Asian-Pac-Islander_Female,Asian-Pac-Islander_Male,Black_Female,Black_Male,Other_Female,Other_Male,White_Female,White_Male
20,2,0.0,0.4,0.5,0.1,0.1,0.0,0.2,0.30000000000000004,0.0,0.0
40,4,0.30000000000000004,0.30000000000000004,0.5,0.0,0.0,0.0,0.2,0.2,0.0,0.0
60,6,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0
80,8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
100,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
