k,required points per color,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,4,0.4,0.5,0.1,0.5,0.5
40,8,0.30000000000000004,0.0,0.7,0.0,-0.1
60,12,0.4,0.4,-0.2,0.7,0.4
80,16,0.5,0.4,0.5,0.0,0.1
100,20,0.3,0.3,0.0,0.1,0.0
