k,required points per color,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,4,0.30000000000000004,0.6000000000000001,0.6,0.5,0.4
40,8,0.9,0.0,0.7999999999999999,0.0,1.2
60,12,0.7,0.30000000000000004,0.2,0.2,0.30000000000000004
80,16,1.2999999999999998,-0.1,0.0,0.5,0.0
100,20,0.6000000000000001,0.0,0.5,0.5,0.0
