k,required points per color,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,4,0.3,0.4,0.8,0.1,0.5
40,8,0.6,0.1,-0.1,0.6000000000000001,0.2
60,12,0.0,0.1,0.0,0.0,0.0
80,16,0.7,0.0,0.3,0.0,0.7
100,20,1.0,0.10000000000000003,0.0,0.0,0.0
