k,required points per color,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,4,0.2,0.4,1.2,0.1,0.7000000000000001
40,8,0.5,0.30000000000000004,0.6000000000000001,0.6,0.0
60,12,0.5,1.0,0.3,0.1,0.0
80,16,2.1,1.5,0.0,0.0,0.3
100,20,1.5,0.7,0.1,0.0,0.0
