k,0,1,10,11,12,13,2,3,4,5,6,7,8,9
28,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2
42,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/3
