k,Midwest,Northeast,Other,South,West
20,0/4,2/4,2/4,-3/4,-1/4
40,-2/8,1/8,4/8,-2/8,-1/8
60,-1/12,-2/12,9/12,-5/12,-1/12
80,-4/16,-6/16,10/16,-3/16,3/16
100,-1/20,-5/20,16/20,-5/20,-5/20
