k,required points per color,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,4,0.6000000000000001,0.0,0.6000000000000001,0.8,0.2
40,8,1.4,0.0,0.8,0.0,0.0
60,12,0.0,0.0,0.0,1.0,0.8
80,16,1.0,0.0,1.0,0.0,0.2
100,20,0.0,0.0,0.0,0.0,0.0
