k,0,1,10,11,12,13,2,3,4,5,6,7,8,9
28,0/2,0/2,0/2,0/2,1/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2
42,0/3,0/3,2/3,0/3,0/3,0/3,1/3,0/3,0/3,0/3,3/3,0/3,0/3,0/3
70,0/5,1/5,0/5,0/5,0/5,0/5,0/5,0/5,1/5,0/5,1/5,0/5,0/5,0/5
84,0/6,0/6,0/6,2/6,0/6,0/6,0/6,0/6,0/6,4/6,0/6,3/6,0/6,0/6
112,0/8,0/8,0/8,0/8,0/8,0/8,0/8,0/8,0/8,0/8,0/8,0/8,0/8,0/8
