k,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,0.4/4,0.2/4,0.2/4,0.4/4,0.0/4
40,0.4/8,0.0/8,1.2/8,0.4/8,0.0/8
60,0.8/12,0.2/12,0.6/12,0.2/12,0.0/12
80,0.6/16,0.0/16,1.0/16,0.0/16,0.4/16
100,2.0/20,0.0/20,0.8/20,0.0/20,0.0/20
