k,Amer-Indian-Eskimo_Female,Amer-Indian-Eskimo_Male,Asian-Pac-Islander_Female,Asian-Pac-Islander_Male,Black_Female,Black_Male,Other_Female,Other_Male,White_Female,White_Male
20,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2
40,0/4,0/4,0/4,0/4,0/4,0/4,0/4,0/4,0/4,0/4
60,0/6,0/6,0/6,0/6,0/6,0/6,0/6,0/6,0/6,0/6
80,0/8,0/8,0/8,0/8,0/8,0/8,1/8,0/8,0/8,0/8
100,0/10,0/10,0/10,0/10,0/10,0/10,0/10,0/10,0/10,0/10
