k,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,0.0,0.0,0.0,25.0,0.0
40,0.0,12.5,50.0,0.0,0.0
60,16.666666666666668,0.0,0.0,0.0,0.0
80,18.75,0.0,31.25,0.0,0.0
100,0.0,0.0,0.0,35.0,0.0
