k,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,0.0/4,0.0/4,1.2/4,0.4/4,0.2/4
40,0.0/8,0.6/8,0.4/8,0.0/8,0.0/8
60,0.8/12,0.0/12,1.8/12,0.0/12,0.0/12
80,0.8/16,0.0/16,2.0/16,0.8/16,0.0/16
100,0.4/20,0.0/20,0.0/20,0.6/20,0.0/20
