k,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,0.0,0.0,0.0,0.0,0.0
40,0.0,37.5,0.0,0.0,0.0
60,33.333333333333336,0.0,0.0,0.0,0.0
80,6.25,0.0,31.25,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
