k,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,0.0/4,0.0/4,0.8/4,0.4/4,0.8/4
40,0.2/8,0.0/8,0.0/8,0.0/8,0.2/8
60,2.5999999999999996/12,0.0/12,1.0/12,0.0/12,0.0/12
80,0.2/16,0.4/16,0.8/16,0.6/16,0.0/16
100,0.2/20,0.0/20,0.0/20,0.8/20,0.0/20
