k,Female_No,Female_Yes,Male_No,Male_Yes
20,0.0,0.0,0.0,0.0
40,0.0,0.0,30.0,0.0
60,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
