k,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,0.0,0.0,0.0,25.0,0.0
40,0.0,37.5,0.0,50.0,0.0
60,0.0,8.333333333333334,0.0,25.0,0.0
80,0.0,0.0,12.5,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
