coreset_size,time,e
1000,81.87180066108704, 7.349490567157451
1000,81.94940328598022, 7.349490567157451
11000,897.8576438426971, 6.67730984966284
21000,1711.450965642929, 6.506815088068191
31000,2525.6158785820007, 6.40623357256224
41000,3340.9201712608337, 6.334989254522296
