k,gamma_high,time
100,18.2208671582886,9.955007314682007
200,16.1245154965971,19.370617866516113
300,14.832396974191326,29.004008293151855
400,14.142135623730951,38.744786739349365
500,13.564659966250536,48.28137993812561
600,13.2664991614216,58.35227823257446
700,12.806248474865697,69.20970320701599
800,12.649110640673518,78.89497184753418
900,12.328828005937952,87.0230004787445
1000,12.165525060596439,96.64123606681824
1100,11.832159566199232,106.26682949066162
1200,11.661903789690601,114.59951591491699
1300,11.661903789690601,123.64204359054565
1400,11.313708498984761,132.62885928153992
1500,11.313708498984761,141.08514833450317
1600,11.135528725660043,150.59277606010437
1700,10.954451150103322,159.51675724983215
1800,10.954451150103322,168.94543933868408
1900,10.770329614269007,177.9284565448761
2000,10.770329614269007,187.32138204574585
2100,10.583005244258363,196.91097831726074
2200,10.583005244258363,206.72569632530212
2300,10.392304845413264,215.96453642845154
2400,10.392304845413264,225.35309767723083
2500,10.392304845413264,233.93949270248413
2600,10.198039027185569,243.34730863571167
2700,10.198039027185569,252.22669053077698
2800,10.198039027185569,262.24494552612305
2900,10.0,270.5597457885742
3000,10.0,280.5942771434784
3100,10.0,289.42248010635376
3200,9.797958971132712,299.2175168991089
3300,9.797958971132712,309.5271518230438
3400,9.797958971132712,318.1475462913513
3500,9.797958971132712,326.71773624420166
3600,9.591663046625438,336.5938837528229
3700,9.591663046625438,345.1900646686554
3800,9.591663046625438,355.13725543022156
3900,9.591663046625438,363.3979892730713
4000,9.591663046625438,373.63499307632446
4100,9.38083151964686,382.4475476741791
4200,9.38083151964686,392.34728813171387
4300,9.38083151964686,400.95345997810364
4400,9.38083151964686,411.0829665660858
4500,9.38083151964686,419.34136724472046
4600,9.16515138991168,429.4314954280853
4700,9.16515138991168,437.9568700790405
4800,9.16515138991168,448.0043616294861
4900,9.16515138991168,456.20303201675415
5000,9.16515138991168,466.41139245033264
5100,9.16515138991168,475.22327876091003
5200,8.94427190999916,485.44720458984375
5300,8.94427190999916,493.830854177475
5400,8.94427190999916,503.14825558662415
5500,8.94427190999916,513.105030298233
5600,8.94427190999916,522.9817273616791
5700,8.94427190999916,530.3345730304718
5800,8.94427190999916,540.9254629611969
5900,8.94427190999916,548.9610109329224
6000,8.94427190999916,559.689017534256
6100,8.717797887081348,567.6451895236969
6200,8.717797887081348,578.897078037262
6300,8.717797887081348,586.9800944328308
6400,8.717797887081348,598.293826341629
6500,8.717797887081348,605.6130049228668
6600,8.717797887081348,616.3903324604034
6700,8.717797887081348,625.0666036605835
6800,8.717797887081348,636.2588562965393
6900,8.717797887081348,644.0303025245667
7000,8.48528137423857,655.0700306892395
7100,8.48528137423857,663.108083486557
7200,8.48528137423857,673.9536290168762
7300,8.48528137423857,683.3020555973053
7400,8.48528137423857,692.7799322605133
7500,8.48528137423857,701.1057410240173
7600,8.48528137423857,711.2977833747864
7700,8.48528137423857,719.439115524292
7800,8.48528137423857,730.1655650138855
7900,8.48528137423857,738.3622534275055
8000,8.48528137423857,748.4980311393738
8100,8.48528137423857,756.5898756980896
8200,8.246211251235321,767.9031767845154
8300,8.246211251235321,775.3360395431519
8400,8.246211251235321,786.4323205947876
8500,8.246211251235321,795.2090017795563
8600,8.246211251235321,805.047159910202
8700,8.246211251235321,812.6315953731537
8800,8.246211251235321,823.9676885604858
8900,8.246211251235321,832.1166026592255
9000,8.246211251235321,843.1128127574921
9100,8.246211251235321,851.2669541835785
9200,8.246211251235321,861.8278675079346
9300,8.246211251235321,870.3587243556976
9400,8.246211251235321,881.2537124156952
