k,required points per color,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
23,15,0.0,0.0,0.2,0.0,2.4000000000000004
42,30,0.0,0.0,0.0,0.0,3.0
63,45,0.0,0.0,0.0,0.0,1.5999999999999999
82,60,0.0,0.0,0.0,0.0,0.4
103,75,0.0,0.0,0.0,0.0,2.8
