k,required points per color,Female_No,Female_Yes,Male_No,Male_Yes
23,8,0.0,0.0,0.0,0.0
43,15,0.0,0.2,0.0,0.0
62,22,0.0,0.0,0.0,0.0
82,29,0.0,0.0,0.0,0.0
102,36,0.0,0.0,0.0,0.0
