k,required points per color,Amer-Indian-Eskimo_Female,Amer-Indian-Eskimo_Male,Asian-Pac-Islander_Female,Asian-Pac-Islander_Male,Black_Female,Black_Male,Other_Female,Other_Male,White_Female,White_Male
26,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
45,24,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,3.4000000000000004
65,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
85,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
105,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
