k,Female_No,Female_Yes,Male_No,Male_Yes
23,0/3,0/9,0/3,0/8
43,0/6,0/17,0/5,0/15
62,0/8,0/25,0/7,0/22
82,0/11,0/33,0/9,0/29
102,0/13,0/42,0/11,0/36
