k,0,1,10,11,12,13,2,3,4,5,6,7,8,9
27,0/2,0/2,0/2,0/2,0/2,0/2,1/2,0/2,0/2,0/2,0/2,0/2,1/1,0/2
48,1/4,0/3,0/4,0/3,0/3,0/4,0/4,1/4,0/3,0/3,0/3,0/4,0/2,0/4
66,0/6,0/4,0/6,0/4,0/5,0/5,0/5,0/5,0/4,0/4,0/4,0/6,0/3,0/5
89,0/8,0/5,3/7,0/6,0/6,0/7,0/7,0/7,0/6,0/6,0/5,0/8,0/4,0/7
107,2/10,0/6,0/9,0/7,0/8,0/8,0/8,0/9,0/7,0/7,0/6,0/9,0/5,0/8
