k,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
22,0.0,0.0,0.0,0.0,14.285714285714286
39,0.0,0.0,0.0,0.0,14.814814814814815
57,0.0,0.0,0.0,0.0,4.878048780487805
75,0.0,0.0,0.0,0.0,1.8518518518518519
93,0.0,0.0,0.0,0.0,0.0
