k,required points per color,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
22,14,0.0,0.0,0.2,0.0,1.6
39,27,0.0,0.0,0.0,0.0,0.2
57,41,0.0,0.0,0.0,0.0,3.8
75,54,0.0,0.0,0.0,0.0,2.2
93,68,0.0,0.0,0.0,0.0,0.0
