k,required points per color,Amer-Indian-Eskimo_Female,Amer-Indian-Eskimo_Male,Asian-Pac-Islander_Female,Asian-Pac-Islander_Male,Black_Female,Black_Male,Other_Female,Other_Male,White_Female,White_Male
24,11,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.8
42,22,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,4.6000000000000005
60,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999997
78,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
94,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
