k,required points per color,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
22,14,0.0,0.0,0.0,0.0,3.0
39,27,0.0,0.0,0.0,0.0,4.8
57,41,0.0,0.0,0.0,0.0,2.4000000000000004
75,54,0.0,0.0,0.0,0.0,2.6
93,68,0.0,0.0,0.0,0.0,3.0
