k,Amer-Indian-Eskimo_Female,Amer-Indian-Eskimo_Male,Asian-Pac-Islander_Female,Asian-Pac-Islander_Male,Black_Female,Black_Male,Other_Female,Other_Male,White_Female,White_Male
24,0/1,0/1,1/1,0/1,0/1,0/1,0/1,0/1,1/5,0/11
42,0/1,0/1,0/1,0/1,0/2,0/2,0/1,0/1,0/10,1/22
60,0/1,0/1,1/1,0/2,0/3,0/3,0/1,0/1,0/15,6/32
78,0/1,0/1,0/1,0/2,0/4,0/4,0/1,0/1,0/20,0/43
94,0/1,0/1,0/1,1/2,0/5,0/5,0/1,0/1,0/24,0/53
