k,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
22,0/1,0/2,0/4,0/1,2/14
39,0/1,0/3,0/7,0/1,4/27
57,0/1,0/4,0/10,0/1,2/41
75,0/1,0/6,0/13,0/1,1/54
93,0/1,0/7,0/16,0/1,0/68
