k,Female_No,Female_Yes,Male_No,Male_Yes
20,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
