k,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
22,0.0,0.0,25.0,0.0,28.571428571428573
39,0.0,0.0,0.0,0.0,14.814814814814815
57,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
