k,required points per color,Ale,Lager,Other
21,7,-6.499999999999999,-7.000000000000001,13.500000000000002
42,14,8.5,-14.000000000000002,5.5
60,20,20.0,-20.0,0.0
81,27,24.4,-26.999999999999996,2.6
102,34,32.1,-33.99999999999999,1.9000000000000001
