k,required points per color,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
22,14,0.0,0.0,0.2,0.0,2.5999999999999996
39,27,0.2,0.0,0.0,0.0,1.4
57,41,0.0,0.0,0.0,0.0,1.0
75,54,0.0,0.0,0.0,0.0,0.4
93,68,0.0,0.0,0.0,0.0,2.0
