k,required points per color,Female_No,Female_Yes,Male_No,Male_Yes
20,7,0.0,0.0,0.0,0.0
37,13,0.0,0.0,0.0,0.0
56,20,0.0,0.2,0.0,0.4
74,26,0.0,0.0,0.0,0.0
92,33,0.0,0.0,0.0,0.0
