k,required points per color,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
20,4,0.6,0.6000000000000001,0.0,0.6000000000000001,0.0
40,8,0.2,0.0,0.0,2.0,0.0
60,12,1.4,0.4,0.0,0.8,0.0
80,16,0.4,0.0,0.0,0.2,0.0
100,20,1.8,0.0,0.6,0.2,0.0
