k,American Indian/Alaska Native,Asian,Black/African American,Native Hawaiian/Other Pacific Islander,White
23,0/1,0/2,0/4,0/1,0/15
42,0/1,0/3,0/7,0/1,1/30
63,0/1,0/5,0/11,0/1,0/45
82,0/1,0/6,0/14,0/1,0/60
103,0/1,0/8,0/18,0/1,0/75
